Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
94,94,Northern Ariz.,Big Sky,25-7,11-5,3-1,11-1,0-0,1-4,2-0,22-3
95,95,Southeastern La.,Southland,24-5,11-3,2-2,11-0,0-1,0-0,1-2,23-2
96,96,San Diego St.,Mountain West,23-9,10-3,5-1,8-5,0-0,2-2,1-4,20-3
97,97,Col. of Charleston,CAA,23-7,9-4,2-1,12-2,0-0,0-1,0-0,23-6
98,98,Oral Roberts,Summit League,21-8,8-6,2-1,11-1,0-3,2-2,0-1,19-2
99,99,Lamar University,Southland,20-8,8-5,1-2,11-1,0-1,0-1,1-4,19-2
100,100,Quinnipiac,MAAC,28-4,12-2,3-1,13-1,0-0,3-2,2-1,23-1
101,101,North Texas,The American,24-8,8-6,1-1,15-1,0-1,0-2,2-2,22-3
102,102,Temple,The American,20-11,10-5,2-1,8-5,0-2,1-4,1-3,18-2
103,103,Lehigh,Patriot,26-6,10-5,0-0,16-1,0-1,0-0,1-0,25-5
104,104,Buffalo,MAC,23-7,10-4,1-1,12-2,0-0,0-1,0-4,23-2
105,105,Wake Forest,ACC,9-20,1-11,0-0,8-9,0-7,0-9,2-3,7-1
106,106,Georgia,SEC,13-19,1-8,3-3,9-8,1-11,1-3,2-3,9-2
107,107,Western Ky.,CUSA,21-9,9-5,2-2,10-2,0-1,1-3,0-1,20-4
108,108,Gonzaga,WCC,22-10,10-3,0-4,12-3,0-1,0-2,5-3,17-4
109,109,Kent St.,MAC,18-12,7-7,2-2,9-3,0-1,1-2,1-4,16-5
110,110,Wisconsin,Big Ten,13-17,2-9,2-2,9-6,1-12,0-3,2-1,10-1
111,111,Rhode Island,Atlantic 10,17-16,6-8,1-3,10-5,0-4,0-3,1-4,16-5
112,112,Troy,Sun Belt,18-13,6-9,3-2,9-2,0-2,0-2,0-1,18-8
113,113,Cleveland St.,Horizon,21-9,7-6,3-1,11-2,0-1,0-1,2-3,19-4
114,114,Texas A&M;,SEC,10-19,0-9,1-3,9-7,2-11,0-3,2-2,6-3
115,115,Toledo,MAC,23-8,7-5,4-2,12-1,0-2,0-2,4-1,19-3
116,116,Georgetown,Big East,11-19,5-8,2-3,4-8,1-4,0-7,1-5,9-3
117,117,UAlbany,America East,25-6,10-5,0-0,15-1,0-1,0-0,1-2,24-3
118,118,Coastal Carolina,Sun Belt,21-8,8-5,1-1,12-2,0-1,0-3,0-1,21-3
119,119,Rutgers,Big Ten,11-19,1-9,0-1,10-9,0-11,0-5,2-2,9-1
120,120,Rice,The American,17-17,2-10,4-2,11-5,0-1,0-3,4-7,13-6
121,121,Northwestern,Big Ten,9-18,2-6,1-1,6-11,0-5,2-8,2-2,5-3
122,122,Illinois St.,MVC,20-12,7-7,3-2,10-3,0-0,0-5,3-3,17-4
123,123,Washington St.,WCC,19-13,7-7,3-2,9-4,0-2,0-2,3-6,16-3
124,124,SMU,ACC,10-20,2-10,1-1,7-9,0-6,1-6,3-4,6-4
125,125,Duquesne,Atlantic 10,18-12,6-6,1-1,11-5,0-2,2-1,0-4,16-5
126,126,Oregon St.,WCC,18-15,6-8,5-3,7-4,0-2,0-1,4-4,14-8
127,127,Butler,Big East,15-17,3-9,2-2,10-6,0-5,1-5,2-4,12-3
128,128,Tennessee Tech,OVC,24-5,10-5,2-0,12-0,0-0,0-2,0-0,24-3
129,129,Tulane,The American,17-13,5-6,2-2,10-5,0-1,1-1,2-4,14-7
130,130,DePaul,Big East,13-19,5-8,0-3,8-8,0-6,1-7,3-4,9-2
131,131,UCF,Big 12,12-18,2-9,1-2,9-7,0-8,0-5,3-3,9-2
132,132,North Dakota St.,Summit League,17-11,6-7,2-2,9-2,0-2,0-1,2-3,15-5
133,133,Tulsa,The American,17-14,5-6,1-4,11-4,0-1,0-3,1-4,16-6
134,134,Arizona St.,Big 12,10-22,3-10,2-3,5-9,0-7,0-6,3-3,7-6
135,135,East Carolina,The American,17-15,6-8,1-2,10-5,0-1,1-4,0-5,16-5
136,136,Pittsburgh,ACC,13-19,4-8,0-4,9-7,0-8,0-4,4-6,9-1
137,137,Arkansas,SEC,10-22,3-7,0-5,7-10,0-12,1-2,2-4,7-4
138,138,Providence,Big East,12-19,4-9,1-3,7-7,0-3,0-6,6-5,6-5
139,139,UNC Greensboro,SoCon,21-6,7-5,4-1,10-0,0-1,0-0,0-4,21-1
140,140,Bowling Green,MAC,18-13,5-10,2-1,11-2,0-2,0-1,1-5,17-5
141,141,Purdue,Big Ten,10-19,2-8,0-2,8-9,0-13,0-5,2-1,8-0
142,142,Arkansas St.,Sun Belt,20-10,7-8,2-0,11-2,0-0,1-0,1-1,18-9
143,143,San Francisco,WCC,15-16,5-10,1-1,9-5,0-1,0-1,1-7,14-7
144,144,Colgate,Patriot,21-9,10-5,0-1,11-3,0-1,0-0,1-0,20-8
145,145,Miami (OH),MAC,17-11,9-5,1-1,7-5,0-0,0-0,1-4,16-7
146,146,UC Davis,Big West,19-12,8-7,2-1,9-4,0-0,0-2,0-0,19-10
147,147,Hawaii,Big West,22-9,8-5,0-2,14-2,0-1,0-1,0-2,22-5
148,148,Southern Ind.,OVC,19-12,5-9,4-1,10-2,0-3,1-0,0-1,18-8
149,150,UIC,MVC,13-17,4-10,1-1,8-6,0-1,1-3,1-8,11-5
150,149,Boise St.,Mountain West,16-15,2-8,3-4,11-3,0-1,0-4,2-3,14-7
151,152,N.C. A&T;,CAA,17-11,7-7,1-1,9-3,0-1,0-2,0-3,17-5
152,151,Massachusetts,Atlantic 10,16-14,8-6,0-1,8-7,0-2,0-2,1-3,15-7
153,153,Idaho,Big Sky,16-12,8-7,0-1,8-4,0-0,0-2,0-3,16-7
154,154,New Mexico St.,CUSA,15-15,5-9,1-3,9-3,0-3,0-3,0-3,15-6
155,155,Army West Point,Patriot,23-7,11-4,0-0,12-3,0-0,0-0,0-2,23-5
156,157,New Mexico,Mountain West,17-14,6-5,0-1,11-8,0-0,0-4,3-2,14-8
157,158,Holy Cross,Patriot,19-12,11-7,0-0,8-5,0-1,0-0,0-4,19-7
158,159,UC Irvine,Big West,21-10,9-7,0-1,12-2,0-1,0-0,1-0,20-9
159,160,VCU,Atlantic 10,12-19,5-7,1-3,6-9,0-2,0-3,1-3,11-11
160,156,Campbell,CAA,19-12,5-9,4-1,10-2,0-0,0-1,2-3,17-8
161,161,Abilene Christian,WAC,17-12,9-5,2-1,6-6,0-0,0-2,0-2,17-8
162,162,Dayton,Atlantic 10,18-13,5-5,1-3,12-5,0-3,0-2,2-3,16-5
163,163,Penn,Ivy League,13-13,4-6,3-1,6-6,0-2,0-6,0-1,13-4
164,164,Old Dominion,Sun Belt,15-15,6-7,1-2,8-6,0-2,0-3,2-1,13-9
165,165,Central Ark.,ASUN,21-9,9-6,0-2,12-1,0-2,0-1,0-1,21-5
166,167,FDU,NEC,27-3,12-3,0-0,15-0,0-1,0-0,0-2,27-0
167,166,Tarleton St.,WAC,18-13,5-9,2-2,11-2,0-2,0-2,0-1,18-8
168,168,Louisiana,Sun Belt,12-16,2-9,0-3,10-4,0-1,0-2,0-3,12-10
169,169,Air Force,Mountain West,16-14,5-8,3-1,8-5,0-1,0-2,1-3,15-8
170,170,UAB,The American,15-15,6-8,1-2,8-5,0-0,1-3,1-5,13-7
171,171,Bucknell,Patriot,17-14,7-10,0-0,10-4,0-0,0-0,0-3,17-11
172,172,Eastern Ky.,ASUN,19-12,9-8,0-0,10-4,0-2,0-2,0-1,19-7
173,173,Wofford,SoCon,13-12,4-9,1-1,8-2,0-3,0-0,0-2,13-7
174,174,Chattanooga,SoCon,13-14,5-7,2-2,6-5,0-2,0-1,0-0,13-11
175,175,UC San Diego,Big West,18-15,8-7,3-0,7-8,0-0,0-1,0-1,18-13
176,176,Eastern Ill.,OVC,18-12,5-11,0-1,13-0,0-4,0-0,0-1,18-7
177,177,Lindenwood,OVC,20-10,7-7,1-1,12-2,0-1,0-0,0-3,20-6
178,178,Pacific,WCC,14-18,4-9,3-2,7-7,0-2,0-1,0-5,14-10
179,180,Howard,MEAC,21-11,10-5,2-2,9-4,0-0,0-3,0-2,21-6
180,179,Houston,Big 12,5-25,0-12,0-3,5-10,0-7,1-4,0-7,4-7
181,181,ETSU,SoCon,15-13,5-9,1-1,9-3,0-2,0-1,0-0,15-10
182,182,Lipscomb,ASUN,18-11,6-8,0-0,12-3,0-1,0-2,0-1,18-7
183,183,Montana,Big Sky,12-18,3-10,2-3,7-5,0-2,1-4,1-2,10-10
184,184,Navy,Patriot,18-11,9-3,1-0,8-8,0-0,0-1,0-1,18-9
185,185,Brown,Ivy League,11-15,4-8,1-1,6-6,0-4,0-4,1-1,10-6
186,186,Fresno St.,Mountain West,17-15,6-6,3-2,8-7,0-2,0-2,1-4,16-7
187,187,Southern U.,SWAC,18-14,8-10,3-2,7-2,0-6,0-3,0-2,18-3
188,188,Louisiana Tech,CUSA,14-15,2-11,1-1,11-3,0-2,0-3,1-3,13-7
189,189,Marshall,Sun Belt,13-20,3-9,5-2,5-9,0-0,0-4,0-5,13-11
190,190,Wichita St.,The American,9-22,3-10,0-3,6-9,0-2,0-1,0-10,9-9
191,191,UT Arlington,WAC,15-13,4-11,2-1,9-1,0-0,0-4,0-2,15-7
